InstanceType,vCPUs,MemoryGiB,Region,AvailabilityZone
c2-standard-4,4.0,16.0,europe-west4,europe-west4-a
c2-standard-4,4.0,16.0,europe-west4,europe-west4-b
c2-standard-4,4.0,16.0,europe-west4,europe-west4-c
c2-standard-4,4.0,16.0,europe-west6,europe-west6-a
c2-standard-4,4.0,16.0,europe-west6,europe-west6-b
c2-standard-4,4.0,16.0,europe-west6,europe-west6-c
c2-standard-4,4.0,16.0,northamerica-northeast1,northamerica-northeast1-a
c2-standard-4,4.0,16.0,northamerica-northeast1,northamerica-northeast1-b
c2-standard-4,4.0,16.0,northamerica-northeast1,northamerica-northeast1-c
c2-standard-4,4.0,16.0,southamerica-east1,southamerica-east1-a
c2-standard-4,4.0,16.0,southamerica-east1,southamerica-east1-b
c2-standard-4,4.0,16.0,southamerica-east1,southamerica-east1-c
c2-standard-4,4.0,16.0,southamerica-west1,southamerica-west1-a
c2-standard-4,4.0,16.0,southamerica-west1,southamerica-west1-b
c2-standard-4,4.0,16.0,southamerica-west1,southamerica-west1-c
c2-standard-4,4.0,16.0,us-central1,us-central1-a
c2-standard-4,4.0,16.0,us-central1,us-central1-b
c2-standard-4,4.0,16.0,us-central1,us-central1-c
c2-standard-4,4.0,16.0,us-central1,us-central1-f
c2-standard-4,4.0,16.0,us-east1,us-east1-b
c2-standard-4,4.0,16.0,us-east1,us-east1-c
c2-standard-4,4.0,16.0,us-east1,us-east1-d
c2-standard-4,4.0,16.0,us-east4,us-east4-a
c2-standard-4,4.0,16.0,us-east4,us-east4-b
c2-standard-4,4.0,16.0,us-east4,us-east4-c
c2-standard-4,4.0,16.0,us-east5,us-east5-a
c2-standard-4,4.0,16.0,us-east5,us-east5-b
c2-standard-4,4.0,16.0,us-east5,us-east5-c
c2-standard-4,4.0,16.0,us-west1,us-west1-a
c2-standard-4,4.0,16.0,us-west1,us-west1-b
c2-standard-4,4.0,16.0,us-west1,us-west1-c
c2-standard-4,4.0,16.0,us-west2,us-west2-a
c2-standard-4,4.0,16.0,us-west2,us-west2-b
c2-standard-4,4.0,16.0,us-west2,us-west2-c
c2-standard-4,4.0,16.0,us-west3,us-west3-a
c2-standard-4,4.0,16.0,us-west3,us-west3-b
c2-standard-4,4.0,16.0,us-west3,us-west3-c
c2-standard-4,4.0,16.0,us-west4,us-west4-a
c2-standard-4,4.0,16.0,us-west4,us-west4-b
c2-standard-4,4.0,16.0,us-west4,us-west4-c
c2-standard-60,60.0,240.0,asia-east1,asia-east1-a
c2-standard-60,60.0,240.0,asia-east1,asia-east1-b
c2-standard-60,60.0,240.0,asia-east1,asia-east1-c
c2-standard-60,60.0,240.0,asia-east2,asia-east2-a
c2-standard-60,60.0,240.0,asia-east2,asia-east2-b
c2-standard-60,60.0,240.0,asia-east2,asia-east2-c
c2-standard-60,60.0,240.0,asia-northeast1,asia-northeast1-a
c2-standard-60,60.0,240.0,asia-northeast1,asia-northeast1-b
c2-standard-60,60.0,240.0,asia-northeast1,asia-northeast1-c
c2-standard-60,60.0,240.0,asia-northeast2,asia-northeast2-a
c2-standard-60,60.0,240.0,asia-northeast2,asia-northeast2-b
c2-standard-60,60.0,240.0,asia-northeast2,asia-northeast2-c
c2-standard-60,60.0,240.0,asia-northeast3,asia-northeast3-a
c2-standard-60,60.0,240.0,asia-northeast3,asia-northeast3-b
c2-standard-60,60.0,240.0,asia-northeast3,asia-northeast3-c
c2-standard-60,60.0,240.0,asia-south1,asia-south1-a
c2-standard-60,60.0,240.0,asia-south1,asia-south1-b
c2-standard-60,60.0,240.0,asia-south1,asia-south1-c
c2-standard-60,60.0,240.0,asia-south2,asia-south2-a
c2-standard-60,60.0,240.0,asia-south2,asia-south2-b
c2-standard-60,60.0,240.0,asia-south2,asia-south2-c
c2-standard-60,60.0,240.0,asia-southeast1,asia-southeast1-a
c2-standard-60,60.0,240.0,asia-southeast1,asia-southeast1-b
c2-standard-60,60.0,240.0,asia-southeast1,asia-southeast1-c
c2-standard-60,60.0,240.0,australia-southeast1,australia-southeast1-a
c2-standard-60,60.0,240.0,australia-southeast1,australia-southeast1-b
c2-standard-60,60.0,240.0,australia-southeast1,australia-southeast1-c
c2-standard-60,60.0,240.0,europe-north1,europe-north1-a
c2-standard-60,60.0,240.0,europe-north1,europe-north1-b
c2-standard-60,60.0,240.0,europe-north1,europe-north1-c
c2-standard-60,60.0,240.0,europe-west1,europe-west1-b
c2-standard-60,60.0,240.0,europe-west1,europe-west1-c
c2-standard-60,60.0,240.0,europe-west1,europe-west1-d
c2-standard-60,60.0,240.0,europe-west2,europe-west2-a
c2-standard-60,60.0,240.0,europe-west2,europe-west2-b
c2-standard-60,60.0,240.0,europe-west2,europe-west2-c
c2-standard-60,60.0,240.0,europe-west3,europe-west3-a
c2-standard-60,60.0,240.0,europe-west3,europe-west3-b
c2-standard-60,60.0,240.0,europe-west3,europe-west3-c
c2-standard-60,60.0,240.0,europe-west4,europe-west4-a
c2-standard-60,60.0,240.0,europe-west4,europe-west4-b
c2-standard-60,60.0,240.0,europe-west4,europe-west4-c
c2-standard-60,60.0,240.0,europe-west6,europe-west6-a
c2-standard-60,60.0,240.0,europe-west6,europe-west6-b
c2-standard-60,60.0,240.0,europe-west6,europe-west6-c
c2-standard-60,60.0,240.0,northamerica-northeast1,northamerica-northeast1-a
c2-standard-60,60.0,240.0,northamerica-northeast1,northamerica-northeast1-b
c2-standard-60,60.0,240.0,northamerica-northeast1,northamerica-northeast1-c
c2-standard-60,60.0,240.0,southamerica-east1,southamerica-east1-a
c2-standard-60,60.0,240.0,southamerica-east1,southamerica-east1-b
c2-standard-60,60.0,240.0,southamerica-east1,southamerica-east1-c
c2-standard-60,60.0,240.0,southamerica-west1,southamerica-west1-a
c2-standard-60,60.0,240.0,southamerica-west1,southamerica-west1-b
c2-standard-60,60.0,240.0,southamerica-west1,southamerica-west1-c
c2-standard-60,60.0,240.0,us-central1,us-central1-a
c2-standard-60,60.0,240.0,us-central1,us-central1-b
c2-standard-60,60.0,240.0,us-central1,us-central1-c
c2-standard-60,60.0,240.0,us-central1,us-central1-f
c2-standard-60,60.0,240.0,us-east1,us-east1-b
c2-standard-60,60.0,240.0,us-east1,us-east1-c
c2-standard-60,60.0,240.0,us-east1,us-east1-d
c2-standard-60,60.0,240.0,us-east4,us-east4-a
c2-standard-60,60.0,240.0,us-east4,us-east4-b
c2-standard-60,60.0,240.0,us-east4,us-east4-c
c2-standard-60,60.0,240.0,us-east5,us-east5-a
c2-standard-60,60.0,240.0,us-east5,us-east5-b
c2-standard-60,60.0,240.0,us-east5,us-east5-c
c2-standard-60,60.0,240.0,us-west1,us-west1-a
c2-standard-60,60.0,240.0,us-west1,us-west1-b
c2-standard-60,60.0,240.0,us-west1,us-west1-c
c2-standard-60,60.0,240.0,us-west2,us-west2-a
c2-standard-60,60.0,240.0,us-west2,us-west2-b
c2-standard-60,60.0,240.0,us-west2,us-west2-c
c2-standard-60,60.0,240.0,us-west3,us-west3-a
c2-standard-60,60.0,240.0,us-west3,us-west3-b
c2-standard-60,60.0,240.0,us-west3,us-west3-c
c2-standard-60,60.0,240.0,us-west4,us-west4-a
c2-standard-60,60.0,240.0,us-west4,us-west4-b
c2-standard-60,60.0,240.0,us-west4,us-west4-c
c2-standard-8,8.0,32.0,asia-east1,asia-east1-a
c2-standard-8,8.0,32.0,asia-east1,asia-east1-b
c2-standard-8,8.0,32.0,asia-east1,asia-east1-c
c2-standard-8,8.0,32.0,asia-east2,asia-east2-a
c2-standard-8,8.0,32.0,asia-east2,asia-east2-b
c2-standard-8,8.0,32.0,asia-east2,asia-east2-c
c2-standard-8,8.0,32.0,asia-northeast1,asia-northeast1-a
c2-standard-8,8.0,32.0,asia-northeast1,asia-northeast1-b
c2-standard-8,8.0,32.0,asia-northeast1,asia-northeast1-c
c2-standard-8,8.0,32.0,asia-northeast2,asia-northeast2-a
c2-standard-8,8.0,32.0,asia-northeast2,asia-northeast2-b
c2-standard-8,8.0,32.0,asia-northeast2,asia-northeast2-c
c2-standard-8,8.0,32.0,asia-northeast3,asia-northeast3-a
c2-standard-8,8.0,32.0,asia-northeast3,asia-northeast3-b
c2-standard-8,8.0,32.0,asia-northeast3,asia-northeast3-c
c2-standard-8,8.0,32.0,asia-south1,asia-south1-a
c2-standard-8,8.0,32.0,asia-south1,asia-south1-b
c2-standard-8,8.0,32.0,asia-south1,asia-south1-c
c2-standard-8,8.0,32.0,asia-south2,asia-south2-a
c2-standard-8,8.0,32.0,asia-south2,asia-south2-b
c2-standard-8,8.0,32.0,asia-south2,asia-south2-c
c2-standard-8,8.0,32.0,asia-southeast1,asia-southeast1-a
c2-standard-8,8.0,32.0,asia-southeast1,asia-southeast1-b
c2-standard-8,8.0,32.0,asia-southeast1,asia-southeast1-c
c2-standard-8,8.0,32.0,australia-southeast1,australia-southeast1-a
c2-standard-8,8.0,32.0,australia-southeast1,australia-southeast1-b
c2-standard-8,8.0,32.0,australia-southeast1,australia-southeast1-c
c2-standard-8,8.0,32.0,europe-north1,europe-north1-a
c2-standard-8,8.0,32.0,europe-north1,europe-north1-b
c2-standard-8,8.0,32.0,europe-north1,europe-north1-c
c2-standard-8,8.0,32.0,europe-west1,europe-west1-b
c2-standard-8,8.0,32.0,europe-west1,europe-west1-c
c2-standard-8,8.0,32.0,europe-west1,europe-west1-d
c2-standard-8,8.0,32.0,europe-west2,europe-west2-a
c2-standard-8,8.0,32.0,europe-west2,europe-west2-b
c2-standard-8,8.0,32.0,europe-west2,europe-west2-c
c2-standard-8,8.0,32.0,europe-west3,europe-west3-a
c2-standard-8,8.0,32.0,europe-west3,europe-west3-b
c2-standard-8,8.0,32.0,europe-west3,europe-west3-c
c2-standard-8,8.0,32.0,europe-west4,europe-west4-a
c2-standard-8,8.0,32.0,europe-west4,europe-west4-b
c2-standard-8,8.0,32.0,europe-west4,europe-west4-c
c2-standard-8,8.0,32.0,europe-west6,europe-west6-a
c2-standard-8,8.0,32.0,europe-west6,europe-west6-b
c2-standard-8,8.0,32.0,europe-west6,europe-west6-c
c2-standard-8,8.0,32.0,northamerica-northeast1,northamerica-northeast1-a
c2-standard-8,8.0,32.0,northamerica-northeast1,northamerica-northeast1-b
